CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius)
18OK05644_002;STN27;47.5467;-52.5867;-1;5;23-aug-05;14:15:00;5.09;31.44;5.27989252127183;15.68
18OK05644_002;STN27;47.5467;-52.5867;-10;164;23-aug-05;14:15:00;165.13;33.41;5.64935064935065;-0.33
18OK05644_002;STN27;47.5467;-52.5867;-2;10;23-aug-05;14:15:00;10.19;31.47;5.21943573667712;14.87
18OK05644_002;STN27;47.5467;-52.5867;-3;20;23-aug-05;14:15:00;20.1;32.01;5.79041648007165;7.29
18OK05644_002;STN27;47.5467;-52.5867;-4;30;23-aug-05;14:15:00;30.02;32.39;6.82937751903269;1.55
18OK05644_002;STN27;47.5467;-52.5867;-5;40;23-aug-05;14:15:00;40.23;32.45;7.03985669502911;0.21
18OK05644_002;STN27;47.5467;-52.5867;-6;50;23-aug-05;14:15:00;50.01;32.51;6.93909538737125;-0.31
18OK05644_002;STN27;47.5467;-52.5867;-7;74;23-aug-05;14:15:00;75.11;32.64;6.60994178235558;-1.21
18OK05644_002;STN27;47.5467;-52.5867;-8;99;23-aug-05;14:15:00;100.08;32.72;6.39050604567846;-1.42
18OK05644_002;STN27;47.5467;-52.5867;-9;149;23-aug-05;14:15:00;150.06;33.23;5.94939543215405;-0.59
18OK05644_113;STN27;47.5467;-52.5867;-11;5;24-aug-05;14:55:00;5.07;31.38;5.57098074339454;15.64
18OK05644_113;STN27;47.5467;-52.5867;-12;10;24-aug-05;14:55:00;10.1;31.57;5.62024182713838;14.6
18OK05644_113;STN27;47.5467;-52.5867;-13;20;24-aug-05;14:55:00;20;32.24;7.25929243170622;4.73
18OK05644_113;STN27;47.5467;-52.5867;-14;30;24-aug-05;14:55:00;30.07;32.44;8.00044782803404;1.81
18OK05644_113;STN27;47.5467;-52.5867;-15;40;24-aug-05;14:55:00;40.14;32.53;7.89968652037618;-0.1
18OK05644_113;STN27;47.5467;-52.5867;-16;50;24-aug-05;14:55:00;50.04;32.6;7.70040304523063;-1.01
18OK05644_113;STN27;47.5467;-52.5867;-17;74;24-aug-05;14:55:00;75.04;32.66;7.44961934617107;-1.38
18OK05644_113;STN27;47.5467;-52.5867;-18;99;24-aug-05;14:55:00;100.04;32.71;7.36005373936408;-1.42
18OK05644_113;STN27;47.5467;-52.5867;-19;149;24-aug-05;14:55:00;150.02;33.08;6.9704433497537;-0.89
18OK05644_113;STN27;47.5467;-52.5867;-20;164;24-aug-05;14:55:00;165.12;33.35;6.37931034482759;-0.41
