CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18FC12032_1239;321;47.8995;-69.58;348075;1.59;15-jul-12;10:28:00;21.36;12.14;273.7658;8.446;13.285;0.19;13.94;0.855;0.79;12.255
18FC12032_1240;331;47.796;-69.69983;348076;1.19;15-jul-12;11:41:00;20.94;11.34;277.47258;8.439;14.205;0.145;15.165;0.865;0.84;9.189
18FC12032_1241;341;47.70283;-69.79783;348077;1.39;15-jul-12;12:40:00;19.5;12.4;280.55412;8.481;13.455;0.16;14.695;0.79;1.25;10.675
18FC12032_1242;351;47.62633;-69.87467;348078;25.09;15-jul-12;13:28:00;28.25;5.09;260.85906;8.298;16.005;0.175;13.845;1.11;0.295;3.322
18FC12032_1242;351;47.62633;-69.87467;348079;0.69;15-jul-12;13:28:00;18.06;13.31;280.0182;8.491;13.315;0.16;15.92;0.755;1.27;7.009
18FC12032_1243;361;47.65133;-69.913;348080;0.79;15-jul-12;14:04:00;17.47;13.64;278.63374;8.471;13.57;0.145;16.095;0.82;0.79;7.397
18FC12032_1244;381;47.6755;-69.955;348081;52.35;15-jul-12;15:04:00;30.22;3.36;263.09206;8.299;16.485;0.17;12.67;1.225;0.255;3.127
18FC12032_1244;381;47.6755;-69.955;348082;25.09;15-jul-12;15:04:00;28.4;4.98;263.31536;8.324;16.38;0.16;13.3;1.175;0.325;3.474
18FC12032_1244;381;47.6755;-69.955;348083;0.79;15-jul-12;15:04:00;20.27;11.49;274.74832;8.442;14.365;0.14;15.615;0.865;0.855;4.225
18FC12032_1245;391;47.69;-69.981;348084;90.12;15-jul-12;16:39:00;31.04;2.53;263.2707;8.275;15.875;0.16;12.64;1.27;0.27;2.574
18FC12032_1245;391;47.69;-69.981;348085;49.58;15-jul-12;16:39:00;30.6;2.94;265.10176;8.297;16.035;0.16;12.545;1.24;0.255;2.673
18FC12032_1245;391;47.69;-69.981;348086;24.29;15-jul-12;16:39:00;29.86;3.72;263.98526;8.309;16.47;0.175;12.755;1.215;0.23;2.969
18FC12032_1245;391;47.69;-69.981;348087;0.89;15-jul-12;16:39:00;18.33;13.13;283.54634;8.493;13.525;0.15;15.96;0.755;2.08;10.692
18FC12032_1246;401;47.75267;-69.8815;348088;103.4;15-jul-12;17:36:00;30.92;2.67;262.1542;8.284;16.08;0.15;12.75;1.26;0.25;2.862
18FC12032_1246;401;47.75267;-69.8815;348089;50.17;15-jul-12;17:36:00;30.11;3.43;265.5037;8.315;16.105;0.165;12.625;1.22;0.21;3.074
18FC12032_1246;401;47.75267;-69.8815;348090;24.79;15-jul-12;17:36:00;29.1;4.38;264.07458;8.33;16.505;0.16;12.975;1.175;0.235;3.252
18FC12032_1246;401;47.75267;-69.8815;348091;0.89;15-jul-12;17:36:00;18.62;13.3;282.16188;8.489;13.545;0.14;16.02;0.765;2.18;16.408
18FC12032_1247;411;47.86883;-69.814;348092;50.96;15-jul-12;18:45:00;30.48;3.08;263.53866;8.291;16.255;0.175;12.88;1.235;0.245;3.352
18FC12032_1247;411;47.86883;-69.814;348093;24.59;15-jul-12;18:45:00;28.43;4.99;268.89786;8.33;16.1;0.18;13.125;1.14;0.315;3.886
18FC12032_1247;411;47.86883;-69.814;348094;1.78;15-jul-12;18:45:00;18.85;13.65;289.57544;8.518;13.525;0.155;15.415;0.72;2.025;18.894
18FC12032_1248;421;47.97717;-69.71067;348095;48.78;15-jul-12;19:49:00;31.79;1.98;254.91928;8.259;16.89;0.14;13.1;1.33;0.185;2.304
18FC12032_1248;421;47.97717;-69.71067;348096;25.58;15-jul-12;19:49:00;29.35;4.08;268.04932;8.324;16.055;0.155;12.865;1.165;0.365;4.2
18FC12032_1248;421;47.97717;-69.71067;348097;1.09;15-jul-12;19:49:00;22.47;11.15;283.8143;8.448;14.16;0.155;14.235;0.865;1.745;15.393
