CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mg/m**3)
18TL04033_720;101;47.99033;-59.90617;276025;479.08;17-aug-04;00:29:00;34.85;4.95;201.72922;201.48359;0.213
18TL04033_720;101;47.99033;-59.90617;276026;249.73;17-aug-04;00:29:00;34.59;5.71;150.0576;152.2906;0.256
18TL04033_720;101;47.99033;-59.90617;276027;29.94;17-aug-04;00:29:00;31.73;4.4;357.41398;353.75186;3.754
18TL04033_721;11;47.26083;-60.32067;276001;196.95;16-aug-04;02:21:00;34.58;5.76;136.6596;136.30232;0.192
18TL04033_721;11;47.26083;-60.32067;276002;2.98;16-aug-04;02:21:00;30.83;18.68;253.17754;253.13288;2.136
18TL04033_722;1411;47.84267;-60.711;276347;218.54;01-sep-04;18:27:00;34.41;5.35;108.7471;108.79176;0.265
18TL04033_722;1411;47.84267;-60.711;276348;2.88;01-sep-04;18:27:00;30.55;17.28;255.14258;255.79015;2.286
18TL04033_723;21;47.5415;-60.28933;276003;476.83;16-aug-04;05:33:00;34.85;5.1;188.28656;188.4652;0.226
18TL04033_723;21;47.5415;-60.28933;276004;250.34;16-aug-04;05:33:00;34.63;6.01;139.5625;138.69163;0.27
18TL04033_723;21;47.5415;-60.28933;276005;3.57;16-aug-04;05:33:00;30.92;17.8;258.98334;258.42509;1.946
18TL04033_724;31;47.53117;-60.30033;276006;451.79;16-aug-04;06:23:00;34.84;5.11;187.08074;187.46035;0.271
18TL04033_724;31;47.53117;-60.30033;276007;249.35;16-aug-04;06:23:00;34.66;6.05;142.82268;144.81005;0.285
18TL04033_724;31;47.53117;-60.30033;276008;2.88;16-aug-04;06:23:00;30.93;18.19;257.6882;255.36588;1.867
18TL04033_725;41;47.64667;-59.50217;276009;360.24;16-aug-04;10:50:00;34.79;5.62;173.0575;173.07983;0.179
18TL04033_725;41;47.64667;-59.50217;276010;249.84;16-aug-04;10:50:00;34.7;6.18;160.82066;161.49056;0.201
18TL04033_725;41;47.64667;-59.50217;276011;2.48;16-aug-04;10:50:00;31.18;16.78;265.63768;266.1736;2.053
18TL04033_726;61;47.739;-59.83567;276012;495.42;16-aug-04;13:52:00;34.85;4.99;198.46904;198.37972;0.229
18TL04033_726;61;47.739;-59.83567;276013;249.94;16-aug-04;13:52:00;34.64;6.21;161.04396;158.87795;0.237
18TL04033_726;61;47.739;-59.83567;276014;3.07;16-aug-04;13:52:00;30.39;18.7;248.9795;250.47561;1.389
18TL04033_727;71;47.76733;-60.21517;276015;491.26;16-aug-04;17:48:00;34.85;5.03;195.1642;194.89624;0.199
18TL04033_727;71;47.76733;-60.21517;276016;250.13;16-aug-04;17:48:00;34.58;6.13;160.37406;157.00223;0.225
18TL04033_727;71;47.76733;-60.21517;276017;3.37;16-aug-04;17:48:00;30.7;18.57;253.35618;253.8921;2.136
18TL04033_728;81;47.8905;-60.3465;276018;470.58;16-aug-04;19:09:00;34.85;5.13;185.24968;185.16036;0.226
18TL04033_728;81;47.8905;-60.3465;276019;250.33;16-aug-04;19:09:00;34.4;5.73;161.93716;162.5624;0.248
18TL04033_728;81;47.8905;-60.3465;276020;2.58;16-aug-04;19:09:00;30.27;18.73;252.23968;251.59211;1.604
18TL04033_729;91;47.982;-60.23167;276021;485.22;16-aug-04;21:44:00;34.85;5.11;187.572;187.48268;0.21
18TL04033_729;91;47.982;-60.23167;276022;249.54;16-aug-04;21:44:00;34.45;5.8;161.4459;158.20805;0.242
18TL04033_729;91;47.982;-60.23167;276023;49.77;16-aug-04;21:44:00;31.82;2.69;352.41206;350.82663;1.62
18TL04033_729;91;47.982;-60.23167;276024;2.97;16-aug-04;21:44:00;29.64;18.55;253.2222;254.51734;2.5
