CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;FLOR;DOXY;OXYM_01;Q_OXYM;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mg/m**3);(ml/l);(mmol/m**3);((none));((none));((none));((none))
18TL04033_721;11;47.26083;-60.32067;276002;2.98;16-aug-04;02:21:00;30.83;18.68;2.136;253.17754;5.668;7;256;NaN;NaN
18TL04033_721;11;47.26083;-60.32067;276001;196.95;16-aug-04;02:21:00;34.58;5.76;0.192;136.6596;3.052;7;256;NaN;NaN
18TL04033_723;21;47.5415;-60.28933;276005;3.57;16-aug-04;05:33:00;30.92;17.8;1.946;258.98334;5.7865;7;256;NaN;NaN
18TL04033_723;21;47.5415;-60.28933;276004;250.34;16-aug-04;05:33:00;34.63;6.01;0.27;139.5625;3.1055;7;256;NaN;NaN
18TL04033_723;21;47.5415;-60.28933;276003;476.83;16-aug-04;05:33:00;34.85;5.1;0.226;188.28656;4.22;7;256;NaN;NaN
18TL04033_724;31;47.53117;-60.30033;276008;2.88;16-aug-04;06:23:00;30.93;18.19;1.867;257.6882;5.718;7;256;NaN;NaN
18TL04033_724;31;47.53117;-60.30033;276007;249.35;16-aug-04;06:23:00;34.66;6.05;0.285;142.82268;3.2425;7;256;NaN;NaN
18TL04033_724;31;47.53117;-60.30033;276006;451.79;16-aug-04;06:23:00;34.84;5.11;0.271;187.08074;4.1975;7;256;NaN;NaN
18TL04033_725;41;47.64667;-59.50217;276011;2.48;16-aug-04;10:50:00;31.18;16.78;2.053;265.63768;5.96;7;256;NaN;NaN
18TL04033_725;41;47.64667;-59.50217;276010;249.84;16-aug-04;10:50:00;34.7;6.18;0.201;160.82066;3.616;7;256;NaN;NaN
18TL04033_725;41;47.64667;-59.50217;276009;360.24;16-aug-04;10:50:00;34.79;5.62;0.179;173.0575;3.8755;7;256;NaN;NaN
18TL04033_726;61;47.739;-59.83567;276014;3.07;16-aug-04;13:52:00;30.39;18.7;1.389;248.9795;5.6085;7;256;NaN;NaN
18TL04033_726;61;47.739;-59.83567;276013;249.94;16-aug-04;13:52:00;34.64;6.21;0.237;161.04396;3.5575;7;256;NaN;NaN
18TL04033_726;61;47.739;-59.83567;276012;495.42;16-aug-04;13:52:00;34.85;4.99;0.229;198.46904;4.442;7;256;NaN;NaN
18TL04033_727;71;47.76733;-60.21517;276017;3.37;16-aug-04;17:48:00;30.7;18.57;2.136;253.35618;5.685;7;256;NaN;NaN
18TL04033_727;71;47.76733;-60.21517;276016;250.13;16-aug-04;17:48:00;34.58;6.13;0.225;160.37406;3.5155;7;256;NaN;NaN
18TL04033_727;71;47.76733;-60.21517;276015;491.26;16-aug-04;17:48:00;34.85;5.03;0.199;195.1642;4.364;7;256;NaN;NaN
18TL04033_728;81;47.8905;-60.3465;276020;2.58;16-aug-04;19:09:00;30.27;18.73;1.604;252.23968;5.6335;7;256;NaN;NaN
18TL04033_728;81;47.8905;-60.3465;276019;250.33;16-aug-04;19:09:00;34.4;5.73;0.248;161.93716;3.64;7;256;NaN;NaN
18TL04033_728;81;47.8905;-60.3465;276018;470.58;16-aug-04;19:09:00;34.85;5.13;0.226;185.24968;4.146;7;256;NaN;NaN
18TL04033_729;91;47.982;-60.23167;276024;2.97;16-aug-04;21:44:00;29.64;18.55;2.5;253.2222;5.699;7;256;NaN;NaN
18TL04033_729;91;47.982;-60.23167;276023;49.77;16-aug-04;21:44:00;31.82;2.69;1.62;352.41206;7.8555;7;256;NaN;NaN
18TL04033_729;91;47.982;-60.23167;276022;249.54;16-aug-04;21:44:00;34.45;5.8;0.242;161.4459;3.5425;7;256;NaN;NaN
18TL04033_729;91;47.982;-60.23167;276021;485.22;16-aug-04;21:44:00;34.85;5.11;0.21;187.572;4.198;7;256;NaN;NaN
18TL04033_720;101;47.99033;-59.90617;276027;29.94;17-aug-04;00:29:00;31.73;4.4;3.754;357.41398;7.921;7;256;NaN;NaN
18TL04033_720;101;47.99033;-59.90617;276026;249.73;17-aug-04;00:29:00;34.59;5.71;0.256;150.0576;3.41;7;256;NaN;NaN
18TL04033_720;101;47.99033;-59.90617;276025;479.08;17-aug-04;00:29:00;34.85;4.95;0.213;201.72922;4.5115;7;256;NaN;NaN
18TL04033_722;1411;47.84267;-60.711;276348;2.88;01-sep-04;18:27:00;30.55;17.28;2.286;255.14258;5.7275;7;256;NaN;NaN
18TL04033_722;1411;47.84267;-60.711;276347;218.54;01-sep-04;18:27:00;34.41;5.35;0.265;108.7471;2.436;7;256;NaN;NaN
